rpi,sos,team
317,224,High Point
318,196,Idaho State
319,245,Tennessee Tech
320,330,South Carolina State
321,266,Tennessee-Martin
322,344,Jacksonville State
323,186,Cornell
324,207,VMI
325,336,Morehead State
326,352,Coppin State
327,284,Wagner
328,160,Cal Poly
329,312,Alabama State
330,182,The Citadel
331,237,Idaho
332,310,Presbyterian College
333,273,New Orleans
334,200,Columbia
335,267,IUPUI
336,243,Denver
337,322,Marist
338,323,SIUE
339,262,Houston Baptist
340,189,Holy Cross
341,318,Southeastern Louisiana
342,349,Alabama A&M
343,279,Western Illinois
344,339,Incarnate Word
345,195,Kennesaw State
346,268,Central Connecticut
347,324,Arkansas-Pine Bluff
348,325,Maryland Eastern Shore
349,272,Chicago State
350,332,Southeast Missouri
351,345,Delaware State
352,341,Mississippi Valley State
353,331,Howard
