team,rpi,sos
UTSA,316,150
Maryland Eastern Shore,317,247
Alabama State,318,320
Navy,319,229
Houston Baptist,320,292
Saint Francis (NY),321,286
Saint Peter's,322,328
Bryant,323,348
Alcorn State,324,351
Mercer,325,271
Weber State,326,226
Hofstra,327,183
Arkansas-Pine Bluff,328,321
NJIT,329,230
South Carolina Upstate,330,296
Evansville,331,179
Detroit,332,218
Tennessee State,333,213
Long Island,334,342
Northwestern State,335,302
Coppin State,336,273
Canisius,337,299
SIUE,338,245
Florida A&M,339,322
Purdue Fort Wayne,340,258
UIC,341,262
Charleston Southern,342,268
Western Carolina,343,290
Hartford,344,240
Central Connecticut,345,340
McNeese,346,308
Grambling State,347,318
ULM,348,339
Chicago State,349,314
South Carolina State,350,347
Mississippi Valley State,351,350
